test_set,,R_O,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
metrics,,Precision,Recall,F1-score,Support,Balanced_accuracy,F1,MCC,Precision,Recall,F1-score,Support,Balanced_accuracy,F1,MCC
model,cases,,,,,,,,,,,,,,
RF_large,0,0.956369982547993,0.9133333333333333,0.9343563512361466,2400,_,_,_,0.29927007299270075,0.41,0.3459915611814346,100,_,_,_
RF_large,1,0.7062146892655368,0.8333333333333334,0.764525993883792,600,0.873333,0.764526,0.70337,0.06349206349206349,0.04,0.049079754601226995,100,0.225,0.04908,-0.592014
RF_medium,0,0.9624060150375939,0.9066666666666666,0.9337052134735034,2400,_,_,_,0.366412213740458,0.48,0.4155844155844156,100,_,_,_
RF_medium,1,0.6968876860622463,0.8583333333333333,0.7692307692307693,600,0.8825,0.769231,0.710183,0.2463768115942029,0.17,0.20118343195266275,100,0.325,0.201183,-0.368136
RF_small,0,0.9270103092783505,0.9366666666666666,0.9318134715025906,2400,_,_,_,0.3710691823899371,0.59,0.4555984555984555,100,_,_,_
RF_small,1,0.7356521739130435,0.705,0.72,600,0.820833,0.72,0.65208,0.0,0.0,0.0,100,0.295,0.0,-0.507801
siamese_large,0,0.9766245909303413,0.8704166666666666,0.9204670632297863,2400,_,_,_,0.74,0.74,0.74,100,_,_,_
siamese_large,1,0.6387921022067363,0.9166666666666666,0.7529089664613278,600,0.893542,0.752909,0.695977,0.74,0.74,0.74,100,0.74,0.74,0.48
siamese_medium,0,0.9685838569357177,0.835,0.8968449317520698,2400,_,_,_,0.7021276595744681,0.66,0.6804123711340208,100,_,_,_
siamese_medium,1,0.5746509129967776,0.8916666666666667,0.69888961463096,600,0.863333,0.69889,0.628292,0.6792452830188679,0.72,0.6990291262135921,100,0.69,0.699029,0.380686
siamese_small,0,0.8966772872098316,0.8208333333333333,0.8570807048074831,2400,_,_,_,0.5806451612903226,0.72,0.6428571428571428,100,_,_,_
siamese_small,1,0.46450809464508097,0.6216666666666667,0.5317177476835354,600,0.72125,0.531718,0.399781,0.631578947368421,0.48,0.5454545454545454,100,0.6,0.545455,0.206021
jaccard_Dec_stump_large,0,0.8,1.0,0.888888888888889,2400,_,_,_,0.5,1.0,0.6666666666666666,100,_,_,_
