test_set,,R_O,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
metrics,,Precision,Recall,F1-score,Support,Balanced_accuracy,F1,MCC,Precision,Recall,F1-score,Support,Balanced_accuracy,F1,MCC
model,cases,,,,,,,,,,,,,,
RF_large,0,0.9596094096759876,0.9008333333333334,0.9292929292929293,2400,_,_,_,0.33587786259541985,0.44,0.38095238095238093,100,_,_,_
RF_large,1,0.6813922356091031,0.8483333333333334,0.7557535263548627,600,0.874583,0.755754,0.692977,0.18840579710144928,0.13,0.15384615384615385,100,0.285,0.153846,-0.452281
RF_medium,0,0.9598765432098766,0.9070833333333334,0.9327335047129391,2400,_,_,_,0.37777777777777777,0.51,0.4340425531914893,100,_,_,_
RF_medium,1,0.6953551912568307,0.8483333333333334,0.7642642642642643,600,0.877708,0.764264,0.703543,0.24615384615384617,0.16,0.1939393939393939,100,0.335,0.193939,-0.352282
RF_small,0,0.9144684252597922,0.9533333333333334,0.9334965320277437,2400,_,_,_,0.38650306748466257,0.63,0.47908745247148293,100,_,_,_
RF_small,1,0.7751004016064257,0.6433333333333333,0.7030965391621129,600,0.798333,0.703097,0.641438,0.0,0.0,0.0,100,0.315,0.0,-0.476439
siamese_large,0,0.9783965434469515,0.8491666666666666,0.9092125808610306,2400,_,_,_,0.7023809523809523,0.59,0.6413043478260868,100,_,_,_
siamese_large,1,0.6052344601962922,0.925,0.7317073170731706,600,0.887083,0.731707,0.672181,0.646551724137931,0.75,0.6944444444444444,100,0.67,0.694444,0.344437
siamese_medium,0,0.9621848739495799,0.85875,0.9075297225891678,2400,_,_,_,0.6702127659574468,0.63,0.6494845360824743,100,_,_,_
siamese_medium,1,0.6048951048951049,0.865,0.7119341563786008,600,0.861875,0.711934,0.640644,0.6509433962264151,0.69,0.6699029126213591,100,0.66,0.669903,0.320578
siamese_small,0,0.9150892374256355,0.705,0.7964226876912215,2400,_,_,_,0.5,0.5,0.5,100,_,_,_
siamese_small,1,0.3848827106863597,0.7383333333333333,0.5059965733866362,600,0.721667,0.505997,0.364675,0.5,0.5,0.5,100,0.5,0.5,0.0
jaccard_Dec_stump_large,0,0.8,1.0,0.888888888888889,2400,_,_,_,0.5,1.0,0.6666666666666666,100,_,_,_
