name_a,name_b
0D,obvious deed
1AM,Air Mechanic 1st Class
1D,One-Dimensional
2AM,Air Mechanic 2nd Class
2D, Two-dimensional
2G," Second-generation mobile (cellular, wireless) telephone system"
2LA,Two Letter Acronym
2Lt,2nd Lieutenant
3AM,Air Mechanic 3rd Class
3D, Three-Dimensional
3G, Third-generation mobile telephone system
3i, Investors In Industry (venture capitalists)
3M, Minnesota Mining and Manufacturing Company
4D," Four-Dimensional (usually three spatial plus one temporal dimension, sometimes four spatial ones)"
4G, Fourth-generation mobile telephone system
4GL, Fourth-generation programming language
4WD, Four-wheel drive
5D,Five-Dimensional
6D,Six-Dimensional
7D,Seven-Dimensional
8D,Eight-Dimensional
9D,Nine-Dimensional
\a, Atto-
A, Ampere
A1C,Airman First Class
A4,"many, including a European standard office paper size; see entry"
A10, Atlantic 10 Conference
aa, Afar language (ISO 639-1 code)
aA, Attoampere
AAAI," Association for the Advancement of Artificial Intelligence, formerly American Association for Artificial Intelligence"
AAAS, American Association for the Advancement of Science
AAAV, Advanced Amphibious Assault Vehicle
AADD,Adult attention deficit disorder
AADT, annual average daily traffic
AADAC, Alberta Alcohol and Drug Abuse Commission
AAFES, Army and Air Force Exchange Service
AAI, applied artificial intelligence
AAIS, advanced airborne interceptor simulator
AAM, air-to-air missile
AAMOF, as a matter of fact
AAN, American Academy of Nursing
AANEAS, Anglo-Australian Near-Earth Asteroid Survey
AAODL, Atmospheric Aerosols and Optics Data Library
AAPC, Accounting and Auditing Policy Committee
aar, Afar language (ISO 639-2 code)
AARP,(i/s) American Association of Retired Persons (now officially known only by the initials)
AASPEM, advanced air-to-air system performance evaluation model
AAT, Australian Antarctic Territory
AAV, Amphibious Assault Vehicle
AAWC, anti-air warfare commander
ab, Abkhaz language (ISO 639-1 code)
ABB, ASEA Brown Boveri (Swiss-Swedish multinational company)
ABBA," Agnetha, Benny, Björn, Anni-Frid (Swedish pop group)"
ABCS, (U.S.) Army Battle Command System
ABET, Accreditation Board for Engineering and Technology
ABFIST, Advanced Bradley Full Crew Interactive Skills Trainer
ABGI, Addington-Barker Group International
ABIN, Agência Brasileira de Inteligência (Brazilian Intelligence Agency)
abk, Abkhaz language (ISO 639-2 code)
ABL, American Basketball League
ABLE, AirBorne Law Enforcement (police air support unit)
ABM, anti-ballistic missile - Asynchronous Balanced Mode - automated banking machine
ABMC, American Battle Monuments Commission
ABN, Australian Business Number (a number issued by the Australian government as registration of a business and used for taxation purposes)
ABPI, Association of the British Pharmaceutical Industry
ABRSM, Associated Board of the Royal Schools of Music
ABSA," Amalgamated Banks of South Africa (""ab-sa"")"
ABSTRIPS, abstraction-based STRIPS
ABV, Alcohol by volume
ABW, Aruba (ISO 3166 trigram)
aC, Attocoulomb
Ac, Actinium
"AC- Adriamycin-Cyclophosphamide (chemotherapy),Air Conditioning,Aircraftman,Alternating Current,Altocumulus,ante Christum (Latin, ""before Christ""; see BC),ante cibum (Latin, ""before meals""), Antigua and Barbuda (FIPS 10-4 country code), Associazione Calcio (Italian, ""football (soccer) club""),A/C", Air Conditioned/Conditioning - Aircraft
AC1,Aircraftman 1st Class
AC2,Aircraftman 2nd Class
ACARS, Aircraft Communications Addressing and Reporting System
ACB," Asociación de Clubes de Baloncesto (Spanish for ""Association of Basketball Clubs"")"
ACCAC," Awdurdod Cymwysterau, Cwricwlwm ac Asesu Cymru (Qualifications, Curriculum and Assessment Authority for Wales)"
ACCD,American Coalition of Citizens with Disabilities
ACCS, Air Communications and Control Squadron
ACDA, Arms Control & Disarmament Agency
"ACDC- Alternating Current Direct Current,the name of an Australian rock music band,a term for a bisexual person,A/Cdre",Air Commodore
ACHT, Average Call Hold Time
