,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
,BA_mean,BA_std,F1_mean,F1_std,MCC_mean,MCC_std,BA_mean,BA_std,F1_mean,F1_std,MCC_mean,MCC_std
model,,,,,,,,,,,,
RF_large,0.8705553333333333,0.005926638704470966,0.7542083333333333,0.011170989407090735,0.6905723333333333,0.014154038869995146,0.26499999999999996,0.034641016151377525,0.08106466666666667,0.06318429153937974,-0.5147313333333333,0.07103750000058658
RF_medium,0.875486,0.008349765745217052,0.7604143333333333,0.0112469894786709,0.6986420000000001,0.014621112235394399,0.3133333333333333,0.02929732638541157,0.14071633333333333,0.09852445010926644,-0.41184666666666664,0.0897896607930631
RF_small,0.8107636666666668,0.01143435268536589,0.7046393333333333,0.014650515497187554,0.6347683333333333,0.021439246776259042,0.3233333333333333,0.03329164059239696,0.005128333333333333,0.008882533891482393,-0.45877266666666666,0.05985004329433131
siamese_large,0.8940276666666667,0.007199795853587346,0.7463183333333334,0.012673970227727914,0.6898156666666667,0.015501304375223821,0.7200000000000001,0.04358898943540671,0.732865,0.03539700031076083,0.4426919999999999,0.08590829033917505
siamese_medium,0.8622916666666667,0.0009077980685887131,0.6998383333333332,0.011650483437751937,0.6289463333333333,0.01138461173397378,0.6833333333333332,0.020816659994661285,0.696186,0.024983117679745235,0.36841433333333334,0.04303344109333269
siamese_small,0.7361806666666667,0.025500393062330137,0.5382546666666667,0.03597419470027555,0.40820233333333333,0.04829188115339193,0.58,0.07211102550927978,0.5593693333333333,0.0674122474505437,0.16208166666666665,0.14518736620082798
jaccard_Dec_stump_large,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
jaccard_Dec_stump_medium,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
jaccard_Dec_stump_small,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
jaro_Dec_stump_large,0.8161803333333334,0.008770834984956307,0.6479256666666666,0.010716206153920932,0.555566,0.014407869516344183,0.0,0.0,0.0,0.0,-1.0,0.0
jaro_Dec_stump_medium,0.819375,0.007092699697576393,0.6496213333333333,0.010642373059300877,0.558418,0.014047046095176006,0.0,0.0,0.0,0.0,-1.0,0.0
jaro_Dec_stump_small,0.7769443333333333,0.008542697778414826,0.6274099999999999,0.00932620458707617,0.5285553333333334,0.010897401173368505,0.0,0.0,0.0,0.0,-1.0,0.0
fuzz_ratio_Dec_stump_large,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
fuzz_ratio_Dec_stump_medium,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
fuzz_ratio_Dec_stump_small,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
fuzz_token_ratio_Dec_stump_large,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
fuzz_token_ratio_Dec_stump_medium,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
fuzz_token_ratio_Dec_stump_small,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
distance_Dec_stump_large,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
distance_Dec_stump_medium,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
distance_Dec_stump_small,0.501597,0.001417907965983696,0.038731666666666664,0.033542845799564076,0.007560666666666667,0.006733557851042296,0.5,0.015000000000000013,0.04304666666666667,0.058838882699566386,-0.007906666666666664,0.08449490885451817
